name,address,latitude,longitude,rating,user_ratings_total,place_id,distance_km,duration_text
Farmhouse La Collina Del Sole,"Strada Valle, 35, Varano Marchesi",44.7521838,10.0429406,4.5,215,ChIJXXYvkKJjgEcRvwdAZkEwVr8,18.948,30 mins
Agriturismo Viantiqua,"Località Fornio, 99, Fidenza",44.8717504,10.0238982,4.6,314,ChIJS44v-_tfgEcReteet9hAYHw,13.794,19 mins
Farm Alba Del Borgo,"Via Cogolonchio, 38, Fidenza",44.8004152,10.0433171,4.7,313,ChIJpUh7KW1hgEcReee8vUatrGg,6.438,11 mins
Soc. Agricola Broncarda di Coppellotti Giuseppe & C. | Ristorante e Agriturismo | Parma | Salsomaggiore Terme,"Localita' Broncarda, 128, Salsomaggiore Terme",44.826786,9.9378166,4.5,766,ChIJCe_sMHeKgEcRwbBCEhqFdaQ,8.486,13 mins
Ristorante agriturismo Battibue,"Via Battibue Localita Baselicaduce, 278, Fiorenzuola d'Arda",44.9284008,9.928612099999999,4.1,16,ChIJ5Qnaaa3zgEcRcgKfaK6QrGM,22.008,27 mins
Agriturismo La Ratta,"Str. per Bacedasco, Vernasca",44.8308093,9.8936125,4.6,378,ChIJOyqQFGKLgEcRCTfMUUuK74U,16.91,24 mins
Agriturismo La Quercia Verde,"Strada Visconti, 868, Alseno",44.8660693,9.942420799999999,4.3,155,ChIJB6s6jAH1gEcRbY35hTvakBc,17.395,23 mins
Podere Lavinia,"S. Vittore Iachino, 94, Salsomaggiore Terme",44.7591341,9.973260699999999,4.7,86,ChIJZWjM8XligEcRyVtPaZhil90,10.603,17 mins
Az. agricola Le colline della Luna,Medesano,44.7509386,10.0885892,4.3,42,ChIJD-puKPFkgEcRtEcvGEbrQrA,28.59,32 mins
Agriturismo Il Colore del Grano,"Località San Vittore, 44, Salsomaggiore Terme",44.76846889999999,9.9720059,4.5,201,ChIJzS6y_QpigEcR4II-AWIzDk8,8.235,12 mins
"Agriturismo ""LA VOLTA""","Località Marzano, 74, Salsomaggiore Terme",44.7982556,9.9651322,4.5,75,ChIJI0b0biaKgEcRjaCM1M8ncag,5.742,10 mins
agriturismo Battibue,"Via Battibue Localita Baselicaduce, 278, Fiorenzuola d'Arda",44.9284249,9.9285791,4,538,ChIJL3l4VvHzgEcRZ8NQ6JD9rOo,22.008,27 mins
Hotel Trattoria La Cascina,"Frazione Cannetolo, 25, Cannetolo",44.8844808,10.142937,4.5,334,ChIJBXjcG61dgEcRr3_mmWVirjg,19.274,22 mins
Agriturismo Villa Baroni,"Località Baroni, 23, Baroni-Mazzaschi, Vernasca",44.8034573,9.858393099999999,4.3,262,ChIJhaloxSWMgEcR4iTjIilKVk4,16.963,24 mins
Agriturismo Colle Rio Stirpi,"Via Scipione Stirpi – Mirani, 161, Salsomaggiore Terme",44.8227383,9.9478197,4.6,88,ChIJD4MUj1OKgEcRqSwlKWEzf5s,7.473,13 mins
Ristorante alla Barchessa,"Strada Salsediana Ovest, 1945, Alseno",44.8850212,9.9486141,4.1,219,ChIJ2arNmjH1gEcRpQXd4b0tHzU,14.581,19 mins
Bar Osteria Parma Loca,"Via Nazionale Emilia, 87, Sanguinaro",44.842723,10.1438894,4.2,79,ChIJJeTrjiFngEcRUA76R2IGKh0,15.334,17 mins
Osteria al Castello,"Via Giuseppe Mazzini, 6, Noceto",44.8079948,10.179778,4.6,348,ChIJS-WYnH1ogEcRJzxtaUvTP9w,19.918,24 mins
Hostaria delle Terre Verdiane,"Via Rita Levi Montalcini, Fidenza",44.8850183,10.084977,4.4,2790,ChIJYQfKjkNegEcRhJ_SOoLoYwk,14.285,16 mins
Hostaria la Torre,"6, Via Al Castello, Noceto",44.7850395,10.0843548,4.5,43,ChIJi5cgtrlmgEcRQjBdpdMPJP0,12.658,20 mins
trattoria della pieve,"SP71, 30, Fidenza",44.7806799,10.0524741,4.4,380,ChIJt56fGVRjgEcRf2kw6ZFcHeA,13.698,19 mins
L'Osteria Fiorentina,"Via Nazionale, 66, Fornovo di Taro",44.6906085,10.0995417,4.4,125,ChIJMwSF-PR7gEcRultCTjCfnxs,40.112,36 mins
"Trattoria ""Da Sincero""","Via Roccalanzona, 12, Medesano",44.7194487,10.0493151,4.6,379,ChIJJwNclDRlgEcR8_5t0D6Du70,24.213,39 mins
Osteria peracchi,"Via Fornacchia, San Vittore",44.7654367,9.988595499999999,4.7,23,ChIJsaww-adjgEcRJg7vRXxYL8g,9.09,14 mins
Osteria Delle Vigne,"Via Roma, 4, Varano de' Melegari",44.6854639,10.0489528,4.6,661,ChIJXdpY-Gh7gEcRKx8rVPwyWVQ,42.882,38 mins
Al Ponte Locanda,"Via Solferino, 2/6, Fornovo di Taro",44.6930606,10.0979627,4.1,485,ChIJe9tUks96gEcR7w7V814vEuY,39.591,35 mins
Osteria N.1 San Lazzaro di Bolzoni Stefano & C snc,"Via S. Lazzaro In Noceto, 12, Noceto",44.78332899999999,10.1401834,4.3,361,ChIJx0sybH1ogEcRNeSxVZVIV4g,20.475,22 mins
Osteria della Posta,"Via Borghetto, 40, Noceto",44.8221743,10.1065026,4.3,407,ChIJm23QdRhngEcRfryIAmrKHAQ,12.655,14 mins
Trattoria Osteria da Gianni,"Località Chiaravalle della Colomba, 3056, Chiaravalle",44.925884,9.971302399999999,4.4,403,ChIJJzn10Tb0gEcRtNtEKez7vFc,19.7,24 mins
Osteria di Fornio,"Frazione Fornio, 78, Fornio",44.8647528,10.0090139,4.7,1288,ChIJ2WXczP5fgEcRV7tIc9WKUig,15.042,19 mins
Osteria del Giava,"Via Barantani R., 7, Fontanellato",44.8846368,10.1716381,4.8,6,ChIJp1WPBgBdgEcRqQMS9Aqd8xY,19.907,24 mins
